Metric,Value
Number of nodes,25.0
Number of edges,121.0
Average degree,9.68
Average strength,112.0
Graph density,0.4033
Global clustering coefficient,0.6188
Average local clustering,0.6941
Number of communities,5.0
Modularity,0.2508
Connected components,2.0
Diameter (largest component),3.0
Average path length (largest component),1.612
