Metric,Value
Number of nodes,20.0
Number of edges,69.0
Average degree,6.9
Average strength,53.9
Graph density,0.3632
Global clustering coefficient,0.542
Average local clustering,0.5955
Number of communities,4.0
Modularity,0.2364
Connected components,2.0
Diameter (largest component),3.0
Average path length (largest component),1.661
