Metric,Value
Number of nodes,20.0
Number of edges,91.0
Average degree,9.1
Average strength,72.5
Graph density,0.4789
Global clustering coefficient,0.676
Average local clustering,0.6683
Number of communities,4.0
Modularity,0.2167
Connected components,1.0
Diameter,3.0
Average path length,1.574
