Metric,Value
Number of nodes,20.0
Number of edges,129.0
Average degree,12.9
Average strength,164.3
Graph density,0.6789
Global clustering coefficient,0.8158
Average local clustering,0.7787
Number of communities,4.0
Modularity,0.2088
Connected components,1.0
Diameter,3.0
Average path length,1.326
